Number,FieldState,MotifSum,Entropy,HilbertMag,CompositeScore,EnhancedCompositeScore,RhythmicCompositeScore,UnionPrediction,InferredFieldState,UMAP_X,UMAP_Y,PrimeStatus,PrimeType,Type,BoundaryTransitionIndex,TransitionFlag
324403,Mid,22,0.4545454545454545,16.0,0.558147737884028,0.7709135183804117,0.8149595397771979,1,Unknown,2.0076663,0.7108288,True Prime,General,,-1.9085998264454789,False
498923,Mid,24,0.3333333333333333,16.0,0.5505417135745216,0.7709420026637692,0.8145683622043969,1,Unknown,-0.76573646,6.712152,True Prime,General,,-1.9063733218396404,False
507077,High,8,0.5,6.0,0.6301477221542977,0.7710536223289883,0.8131591545429571,1,Unknown,0.32719234,4.626137,True Prime,General,,-1.8976484508083822,False
320759,Low,26,0.3846153846153846,18.0,0.615262420665526,0.7710869631215109,0.8142274607845253,1,Unknown,7.3902206,5.255176,True Prime,General,,-1.8950423319469023,False
226819,Low,6,0.3333333333333333,4.0,0.5595428376294146,0.7711796218440743,0.8147584575486402,1,Unknown,4.2104445,6.5336103,True Prime,General,,-1.887799563365761,False
413233,Mid,36,0.4444444444444444,26.0,0.6258488533122768,0.771252327102234,0.8166511476067377,1,Unknown,5.5226235,4.660091,True Prime,General,,-1.8821164787633058,False
451939,Low,24,0.8333333333333334,22.0,0.6160675571456604,0.77136392894612,0.8144490334442132,1,Unknown,2.2520235,5.286071,True Prime,General,,-1.8733930007556907,False
506729,High,32,0.875,30.0,0.6345185126751057,0.7716632349525518,0.8136468446418066,1,Unknown,7.77986,7.577654,True Prime,General,,-1.8499974252549742,False
424811,Mid,40,0.7,34.0,0.7040110421829774,0.7716777309643541,0.8172544677813693,1,Unknown,0.33134684,4.502521,True Prime,General,,-1.8488643289211515,False
443987,Mid,16,0.5,12.0,0.5770023872292744,0.7716954211425396,0.8170056228389823,1,Unknown,7.9061065,5.463232,True Prime,General,,-1.847481557140876,False
436027,Low,48,0.4166666666666667,34.0,0.6292484292082965,0.771709557243485,0.8155963708676567,1,Unknown,4.7496357,3.7779293,True Prime,General,,-1.846376593625791,False
381989,Low,14,0.7142857142857143,12.0,0.6099629756308531,0.771725336825962,0.8136965261405349,1,Unknown,5.6038585,1.4962951,True Prime,General,,-1.845143165611393,False
200909,Low,24,0.5,18.0,0.5987507813757578,0.7717772792220341,0.8168740129144546,1,Unknown,3.183757,1.8466326,True Prime,General,,-1.8410830324270306,False
354643,Low,28,0.7142857142857143,24.0,0.6296503278595655,0.7719620882874253,0.813301620383146,1,Unknown,1.8860313,3.277647,True Prime,General,,-1.8266372333128658,False
320669,Low,28,0.2857142857142857,18.0,0.5900919436605417,0.7719836717113533,0.81703912690591,1,Unknown,5.6058593,1.6011523,True Prime,General,,-1.8249501417970915,False
459841,Mid,18,0.3333333333333333,12.0,0.6140256037329146,0.7719886919543596,0.815819678636356,1,Unknown,3.356176,1.1047294,True Prime,General,,-1.8245577291098682,False
467813,Low,44,0.3636363636363636,30.000000000000004,0.6460407958319501,0.7720350731240926,0.8158567835721416,1,Unknown,5.8721294,6.8460402,True Prime,General,,-1.8209322951560496,False
514793,Low,36,0.4444444444444444,26.0,0.6145001160494696,0.7720579117093641,0.8175586123773773,1,Unknown,8.972989,4.0792394,True Prime,General,,-1.8191470926055915,False
374531,Mid,36,0.6666666666666666,30.0,0.5946045177865219,0.7720718727564759,0.8174601710480079,1,Unknown,0.8997789,4.4753575,True Prime,General,,-1.818055812361444,False
332009,High,12,0.6666666666666666,10.0,0.5839386991240788,0.7720855646915675,0.8165956850495528,1,Unknown,2.682418,7.329326,True Prime,General,,-1.8169855675474318,False
558583,Low,24,0.6666666666666666,20.0,0.5892952911746863,0.7720935996444502,0.8168863498470075,1,Unknown,5.7041607,2.317584,True Prime,General,,-1.816357506824384,False
542281,Mid,30,0.2,18.0,0.5890009857846263,0.7721376120267753,0.8155248496947992,1,Unknown,-0.5614083,1.6743501,True Prime,General,,-1.8129172316828028,False
518533,High,22,0.0909090909090909,12.0,0.5863552191776028,0.7721540342505697,0.8150811176877732,1,Unknown,4.0561934,0.71935296,True Prime,General,,-1.8116335709195204,False
215461,Mid,12,0.6666666666666666,10.0,0.5652792439935097,0.7722657495951393,0.8141288563558773,1,Unknown,3.869744,1.4195353,True Prime,General,,-1.8029012210090583,False
260483,Mid,22,0.4545454545454545,16.0,0.6046230536343794,0.772338277030234,0.8141868783039532,1,Unknown,6.811393,8.363544,True Prime,General,,-1.7972320361374878,False
